State,District,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,hospital_count,early life visibility gap,AAE,AAE_log,Average_annual_engagement_normalized,Follow_Through_Failure,district_lat,district_lon,district_location,average_nearest_5_hospitals,Unnamed: 19,District area,Unnamed: 22,hospital_count.1,clinical_overhead_index,clinical_overhead_index_log,clinical_overhead_index_log_normalized,clinical_overhead_index_log_scaled_100,engagement_gap,Vaccination gap
Andhra Pradesh,Krishna,6163,540,34,146788,86459,13459,98390,130,0.0805609428614053,271.3271719038817,5.607004181348004,0.8214279881505216,0.0839885677200339,16.6099914,80.7214417,"(16.6099914, 80.7214417)",5.462774756331234e-05,,3727,,130,193144.6076923077,12.1711996274388,0.6938346123843477,69.38346123843478,0.17857201184947835,0.10650893342911488
Andhra Pradesh,Kurnool,10923,823,24,242992,107641,29378,148267,110,0.0700664055848799,294.8932038834951,5.689998591530019,0.8335866970044112,0.1078602347533327,15.8281257,78.0372792,"(15.8281257, 78.0372792)",3.951050678205352e-05,,17658,,110,1889406.0,14.451773581190164,0.8846539423899653,88.46539423899654,0.16641330299558876,0.10794099411232667
Andhra Pradesh,Nandyal,860,39,6,6337,4303,4798,22587,65,0.0433815350389321,158.425,5.071573592201335,0.7429872277351695,0.4308548850574712,15.4776876,78.487285,"(15.4776876, 78.487285)",1.328653470716438,,9697,,65,135012.07692307694,11.813126918826216,0.663874086772645,66.3874086772645,0.25701277226483055,0.1687317772427795
Andhra Pradesh,Nellore,6467,2089,608,105733,62879,10156,80032,125,0.2441561477325853,50.58995215311005,3.943326927811082,0.5776987139954111,0.087634826128225,14.4425987,79.98645599999999,"(14.4425987, 79.98645599999999)",3.319301422899437e-05,,13076,,125,958627.712,13.773259117272469,0.8278815342025783,82.78815342025783,0.42230128600458894,0.20828385114010872
Andhra Pradesh,Ntr,790,97,46,6788,6771,4718,33352,80,0.1093573844419391,69.26530612244898,4.252278165227897,0.6229601736233751,0.4100112974711045,16.7358224,80.4103957,"(16.7358224, 80.4103957)",4.713411386771323,,1988,,80,23185.05,10.051306083701755,0.5164596734862958,51.64596734862958,0.3770398263766249,0.25665144959820446
Andhra Pradesh,Palnadu,759,76,25,6007,4046,3955,21540,60,0.0910179640718562,78.01298701298701,4.369612231525499,0.640149653585059,0.3969687845026598,16.3819515,79.8296743,"(16.3819515, 79.8296743)",7.229245409760369,,7649,,60,109635.66666666667,11.604927147425066,0.64645367345049,64.645367345049,0.35985034641494096,0.2351446667802267
Andhra Pradesh,Parvathipuram Manyam,464,36,8,5090,5540,1511,7880,40,0.0719999999999999,137.56756756756758,4.931358059139476,0.7224456052385075,0.2288700393820054,18.7958039,83.67739279999999,"(18.7958039, 83.67739279999999)",6.252359413355789,,3659,,40,46469.3,10.746568677836107,0.5746334249546285,57.463342495462854,0.27755439476149246,0.16599302891685716
Andhra Pradesh,Prakasam,6405,1157,61,136533,75766,15519,104979,95,0.1530018513620735,117.9041450777202,4.778317664970658,0.7000251362996681,0.1020630964203271,15.348463,79.560344,"(15.348463, 79.560344)",0.0,,17626,,95,1414347.347368421,14.162179451086983,0.860423130760748,86.04231307607479,0.2999748637003319,0.16732086336641308
Andhra Pradesh,Sri Sathya Sai,879,40,19,5704,4711,3953,18154,70,0.0435255712731229,139.1219512195122,4.942513123578548,0.7240798259102805,0.4092979913025471,14.1559561,77.7452081,"(14.1559561, 77.7452081)",3.2440566983768213,,8925,,70,119595.0,11.691874675123325,0.653728714434684,65.37287144346841,0.27592017408971947,0.17002881035801856
Andhra Pradesh,Srikakulam,4157,135,8,125178,67429,24315,111384,85,0.0314538676607641,920.4264705882352,6.825922980750145,1.0,0.1626486681739735,18.2949165,83.89380179999999,"(18.2949165, 83.89380179999999)",0.3887488457318097,,5837,,85,295283.5294117647,12.595694676965008,0.7293528032362826,72.93528032362826,0.0,0.07152572742687553
Andhra Pradesh,Tirupati,802,689,228,5633,4765,4768,28462,75,0.4621059691482226,8.163768115942029,2.215257460467308,0.3245359589779401,0.4583733897327437,13.6287557,79.4191795,"(13.6287557, 79.4191795)",0.5633994739400014,,8520,,75,195278.4,12.182186632550856,0.6947539129625213,69.47539129625213,0.6754640410220599,0.5230233401429735
Andhra Pradesh,Visakhapatnam,7874,488,42,195385,115918,19864,137329,160,0.0583592441999522,399.560327198364,5.9928643848736725,0.8779566370400326,0.0922833914053426,17.6973801,83.29902539999999,"(17.6973801, 83.29902539999999)",0.7934878316649856,,11161,,160,586231.525,13.28147179019601,0.7867328890978582,78.67328890978582,0.12204336295996743,0.08694590330459663
Andhra Pradesh,Vizianagaram,3695,158,3,101296,58702,11069,67818,80,0.0410070075266026,637.0817610062893,6.458466427181493,0.9461674919853448,0.0985084456152217,18.1066576,83.39555059999999,"(18.1066576, 83.39555059999999)",6.125718126758211e-05,,4123,,80,198728.6,12.199700385739144,0.6962193171620981,69.6219317162098,0.05383250801465522,0.06013473285614909
Andhra Pradesh,West Godavari,5568,343,24,139979,80435,14258,112548,115,0.0580274065301978,406.9156976744186,6.011060529707604,0.8806223783449442,0.092441551368664,16.6475969,81.6035062,"(16.6475969, 81.6035062)",2.068277459605035,,2178,,115,112403.73913043478,11.62986137863505,0.6485399611088525,64.85399611088525,0.11937762165505583,0.08619348410345481
Andhra Pradesh,Ysr Kadapa,6257,465,35,120310,59094,15235,96618,100,0.0691758405236536,258.17596566523605,5.557507235121926,0.8141766689713184,0.112397267348354,14.5767233,78.8382644,"(14.5767233, 78.8382644)",4.230138003323412,,15359,,100,1037807.63,13.85262196154896,0.834521952395231,83.45219523952309,0.18582333102868165,0.1130498905143637
Arunachal Pradesh,Anjaw,23,11,3,675,496,128,632,12,0.3235294117647058,56.25,4.047427642434349,0.592949503510154,0.1592039800995024,28.0359962,96.8350999,"(28.0359962, 96.83509989999999)",35.67023224293867,,6190,,12,19085.833333333332,9.856754022045068,0.5001811862241424,50.01811862241424,0.40705049648984604,0.2757435267741817
Arunachal Pradesh,Changlang,486,304,13,5436,2747,690,4969,28,0.3848101265822785,17.82295081967213,2.9350769135602253,0.4299897496408127,0.1126162885588379,27.1355348,95.7364417,"(27.1355348, 95.73644170000001)",21.31945954122924,,4662,,28,133699.5,11.803357502798823,0.6630566638524952,66.30566638524952,0.5700102503591873,0.2912349260559433
Arunachal Pradesh,Dibang Valley,7,3,0,313,158,28,132,10,0.3,78.25,4.37260741275739,0.6405884486374407,0.0818713450292397,28.7312796,95.8987139,"(28.7312796, 95.89871389999999)",33.541588427663115,,9129,,10,9129.0,9.119320973589014,0.43847896429052924,43.84789642905292,0.3594115513625593,0.20667204510967857
Arunachal Pradesh,East Kameng,88,79,14,2690,1607,292,1130,18,0.4730538922155688,33.625,3.544575964507503,0.5192815644863849,0.0978880321823667,27.6141916,92.8577105,"(27.6141916, 92.8577105)",31.13846328543023,,4134,,18,41569.666666666664,10.635150069324407,0.5653108488586469,56.53108488586469,0.48071843551361515,0.2813047066418377
Arunachal Pradesh,East Siang,80,86,2,2242,1079,423,2080,45,0.5180722891566265,25.77011494252873,3.287286151229757,0.4815885207759106,0.1586646661665416,28.0550482,95.3520876,"(28.0550482, 95.35208759999999)",9.813228923254805,,4005,,45,14952.0,9.612667227583843,0.47975804734469707,47.975804734469705,0.5184114792240895,0.3492864447553501
Arunachal Pradesh,Kamle,3,25,2,57,86,64,254,8,0.8928571428571429,2.1923076923076925,1.160744069775116,0.1700493944992555,0.5245901639344263,27.7996255,94.0747664,"(27.7996255, 94.0747664)",35.00487101092911,,1200,,8,4500.0,8.412054873292933,0.3793008599487755,37.93008599487755,0.8299506055007445,0.7298239686923389
Arunachal Pradesh,Kra Daadi,18,59,4,717,523,145,369,9,0.7662337662337663,11.95,2.5610957881455465,0.3752013896681985,0.168018539976825,28.0157633,93.7029002,"(28.0157633, 93.7029002)",61.41435638835669,,2207,,9,19863.0,9.896664327188002,0.5035205463335426,50.35205463335426,0.6247986103318015,0.4316709760595359
Arunachal Pradesh,Kurung Kumey,19,44,12,1299,2091,106,229,11,0.6984126984126984,28.866666666666667,3.396743031312776,0.4976239903221828,0.0753911806543385,28.073758,93.2583626,"(28.073758, 93.2583626)",40.310048162150935,,6040,,11,41181.818181818184,10.625776413932691,0.5645265398742315,56.452653987423155,0.5023760096778171,0.29795717951252987
Arunachal Pradesh,Leparada,0,2,1,34,2,8,15,10,1.0,11.333333333333334,2.512305623976115,0.3680536142967175,0.1860465116279069,27.8895239,94.7691586,"(27.8895239, 94.7691586)",26.21113842978989,,1800,,10,540.0,6.293419278846481,0.20203117571278661,20.20311757127866,0.6319463857032825,0.4898922720219261
Arunachal Pradesh,Lohit,102,63,1,1796,2095,212,1654,30,0.3818181818181818,28.0625,3.369448683347575,0.4936253592151262,0.1055251368840219,28.0682343,96.1526985,"(28.0682343, 96.15269850000001)",14.75798575047529,,2402,,30,13291.066666666668,9.494922645010107,0.4699061667154574,46.99061667154574,0.5063746407848738,0.273250831708629
Arunachal Pradesh,Longding,141,719,37,1611,988,263,1222,14,0.836046511627907,2.2375,1.1748014270256562,0.1721088020387463,0.1402666666666666,26.837169,95.3520876,"(26.837169, 95.35208759999999)",3.9300059092903177,,1200,,14,76885.71428571429,11.250088374452401,0.6167637364908569,61.67637364908569,0.8278911979612538,0.4596063922546819
Arunachal Pradesh,Lower Dibang Valley,58,49,2,1373,875,186,971,12,0.4579439252336449,27.46,3.3484995926617063,0.4905563104220256,0.1192307692307692,28.0829633,95.8142885,"(28.0829633, 95.81428849999999)",27.19918945196512,,3900,,12,35425.0,10.475201292812542,0.5519276747155734,55.19276747155734,0.5094436895779744,0.30299277900654076
Arunachal Pradesh,Lower Siang,10,18,3,359,54,70,269,9,0.6428571428571428,18.894736842105264,2.990455216453148,0.4381026895390645,0.1627906976744186,27.8015684,94.6037231,"(27.8015684, 94.6037231)",22.21618128829389,,2250,,9,7750.0,8.955577146281511,0.42477825207815967,42.47782520781597,0.5618973104609355,0.3888663262388081
Arunachal Pradesh,Lower Subansiri,50,55,0,1530,1150,198,1323,22,0.5238095238095238,27.321428571428573,3.3436187114596443,0.4898412596932338,0.1145170618854829,27.5910076,93.8248241,"(27.5910076, 93.8248241)",26.33259013423949,,3508,,22,16742.727272727272,9.725778975933418,0.4892222912032774,48.92222912032774,0.5101587403067662,0.3127876805967605
Arunachal Pradesh,Namsai,95,54,1,3561,2442,221,1914,35,0.3624161073825503,64.74545454545455,4.185790536279597,0.6132197137418612,0.0584192439862542,27.6666459,95.8625935,"(27.6666459, 95.8625935)",3.033060272514516,,1587,,35,6801.428571428572,8.825034970261012,0.4138555760014939,41.38555760014939,0.38678028625813876,0.20156227495809778
Arunachal Pradesh,Pakke Kessang,2,1,1,30,44,14,73,8,0.3333333333333333,15.0,2.772588722239781,0.4061851752589044,0.3111111111111111,27.0471985,93.0175712,"(27.0471985, 93.0175712)",10.98809343498827,,1900,,8,950.0,6.85751406254539,0.24922990325592542,24.922990325592544,0.5938148247410956,0.3948951206673221
Arunachal Pradesh,Papum Pare,201,241,5,4835,4424,770,4152,70,0.5452488687782806,19.979338842975206,3.043538088790708,0.445879348093118,0.1373528362468783,27.2240654,93.5003454,"(27.2240654, 93.5003454)",12.246332998125052,,2875,,70,18358.928571428572,9.817925773721846,0.4969323635678363,49.69323635678363,0.554120651906882,0.34621476119045425
Arunachal Pradesh,Shi-yomi,8,22,5,210,319,43,195,7,0.7333333333333334,9.130434782608695,2.315544237636551,0.3392280053798791,0.1692913385826771,28.69787119999999,94.315422,"(28.69787119999999, 94.315422)",26.39992473121859,,2875,,7,14375.0,9.573315428463395,0.4764654183421042,47.646541834210424,0.6607719946201209,0.4345061532160388
Arunachal Pradesh,Siang,39,60,4,880,429,175,602,12,0.6060606060606061,14.42622950819672,2.7360692754120683,0.4008350640826281,0.1657196969696969,28.5006832,94.645035,"(28.5006832, 94.645035)",24.76614716458008,,2949,,12,25312.25,10.139083253039576,0.5238041319351354,52.38041319351354,0.5991649359173719,0.3918731657518926
Arunachal Pradesh,Tawang,104,43,7,1866,598,209,742,20,0.2925170068027211,42.40909090909091,3.7706688871224143,0.5524042532791705,0.100674373795761,27.632451,91.7538817,"(27.632451, 91.7538817)",35.306522337734705,,2172,,20,16724.4,9.724683801003414,0.4891306561365705,48.91306561365705,0.44759574672082947,0.2362210902356609
Arunachal Pradesh,Tirap,59,39,1,1371,522,96,894,18,0.3979591836734694,34.275,3.5631744977388777,0.5220062558261238,0.0653950953678474,27.0185604,95.5197394,"(27.0185604, 95.51973939999999)",14.411300047612666,,2362,,18,12991.0,9.472089062401459,0.46799564374037783,46.799564374037786,0.4779937441738762,0.231704947489259
Arunachal Pradesh,Upper Siang,21,21,1,1235,561,199,1122,8,0.5,56.13636363636363,4.045440755231931,0.5926584238703718,0.1386759581881533,28.86128979999999,94.976654,"(28.86128979999999, 94.976654)",46.3522592356062,,6590,,8,35421.25,10.475095432752385,0.5519188172322541,55.191881723225414,0.4073415761296282,0.30453927281553345
Arunachal Pradesh,Upper Subansiri,76,55,12,2462,1704,347,1202,16,0.4198473282442748,43.96428571428572,3.805868523869144,0.5575610118370968,0.1234875444839857,28.3348801,93.9878427,"(28.3348801, 93.9878427)",14.450068964618763,,7032,,16,62848.5,11.048498258537267,0.5998963637878559,59.98963637878559,0.44243898816290317,0.28413363432819216
Arunachal Pradesh,West Kameng,157,103,18,2967,3205,375,1484,26,0.3961538461538462,28.52884615384616,3.3853676212994497,0.4959574889500744,0.1121746933891714,27.3427633,92.302446,"(27.3427633, 92.30244599999999)",15.996540943721708,,7422,,26,79358.30769230769,11.281741018285468,0.6194121646548272,61.94121646548272,0.5040425110499256,0.2818871712300288
Arunachal Pradesh,West Siang,110,80,2,3345,1301,521,3031,32,0.4210526315789473,41.2962962962963,3.7446995242116254,0.5485997329258023,0.134729764675459,28.1782689,94.5211935,"(28.1782689, 94.5211935)",9.729740595635894,,8325,,32,49950.0,10.818797803896322,0.580676953347571,58.0676953347571,0.45140026707419767,0.2947500696014934
Assam,Bajali,19,8,2,6,17,57,787,18,0.2962962962962963,0.6666666666666666,0.5108256237659906,0.0748361247565457,0.890625,26.543942,91.187014,"(26.543942, 91.18701399999999)",1.393014902011115,,410,,18,660.5555555555555,6.4945939642395025,0.21886378866867962,21.88637886686796,0.9251638752434543,0.6249998652399784
Assam,Baksa,2120,1179,400,11602,5853,1346,15666,22,0.3573810245528948,9.832203389830507,2.382523492750517,0.3490404886591154,0.1039462506757278,26.7448132,91.1736994,"(26.7448132, 91.17369939999999)",4.302799791636185,,2457,,22,413111.04545454547,12.93147413164904,0.7574480160519264,75.74480160519263,0.6509595113408846,0.28917767734665545
Assam,Barpeta,10545,3306,532,66392,29029,4978,54164,55,0.2386831275720164,20.07620199576656,3.0481445364616047,0.4465541942177941,0.0697482170629527,26.3304209,91.0040547,"(26.3304209, 91.0040547)",2.320089386940725,,3245,,55,848597.0,13.651340854924582,0.8176804350019122,81.76804350019123,0.5534458057822059,0.20964120322723573
Assam,Biswanath,789,464,76,6159,3389,844,10181,30,0.3703112529928172,13.24516129032258,2.6564172904777394,0.3891660216455897,0.1205025699600228,26.8517875,93.3388917,"(26.8517875, 93.33889169999999)",3.097889029861977,,1415,,30,62684.5,11.0458854399082,0.5996777450057706,59.967774500577065,0.6108339783544103,0.30095077680958093
Assam,Bongaigaon,2324,626,225,24633,11975,3318,35806,40,0.2122033898305084,39.28708133971292,3.6960308552715615,0.5414697566460647,0.1187034917000572,26.5030072,90.5535724,"(26.5030072, 90.5535724)",4.526085253937078,,1093,,40,86756.875,11.370876471787007,0.6268702729476683,62.68702729476683,0.45853024335393533,0.22604484068763986
Assam,Cachar,11474,4513,1527,42167,23978,5078,52941,85,0.282291862137987,9.34138236597253,2.336153551244282,0.3422472767173747,0.1074799983067349,24.7821253,92.8577105,"(24.7821253, 92.8577105)",1.9825941729121108,,3786,,85,780094.1647058823,13.567171197256826,0.8106378229188689,81.0637822918869,0.6577527232826252,0.27124571622648125
Assam,Charaideo,659,336,194,6096,2197,763,9150,28,0.3376884422110553,18.08902077151336,2.9491133410586388,0.4320460909646158,0.1112244897959183,27.0372817,95.018246,"(27.0372817, 95.01824599999999)",4.219497275934801,,1069,,28,45394.32142857143,10.723164326485083,0.5726751448310341,57.26751448310341,0.5679539090353842,0.2773383350146853
Assam,Chirang,2013,1071,264,18078,9009,1175,12222,25,0.3472762645914397,16.863805970149254,2.8827766529780448,0.4223277439707117,0.0610262802534538,26.5388578,90.6850972,"(26.5388578, 90.6850972)",3.2581629185337064,,1923,,25,257528.16,12.458888235392902,0.7179059858777397,71.79059858777397,0.5776722560292883,0.23047536082221867
Assam,Darrang,4390,1914,1291,16240,10025,3187,25132,32,0.3036167512690355,8.48041775456919,2.2492283822336896,0.3295127103802315,0.1640415894585135,26.4511588,92.1057549,"(26.4511588, 92.1057549)",4.148738621448069,,1858,,32,440984.6875,12.996767699253793,0.762911234994474,76.2911234994474,0.6704872896197684,0.3220253658760703
Assam,Dhemaji,3864,1846,1191,12494,8236,1927,20422,35,0.323292469352014,6.76448294531673,2.049559866529972,0.300261206039089,0.1336153099431424,27.4720412,94.5587757,"(27.4720412, 94.5587757)",3.862079161879073,,3237,,35,638243.9142857143,13.36647736685532,0.7938454438817926,79.38454438817925,0.699738793960911,0.31150325421106445
Assam,Dhubri,8432,3849,365,40373,19102,7185,73614,70,0.3134109600195424,10.486493506493506,2.441171867433558,0.3576324951684822,0.151075506213335,26.0206982,89.9743463,"(26.0206982, 89.9743463)",2.143355509133918,,2176,,70,393109.9428571428,12.88184714835942,0.7532956456865856,75.32956456865855,0.6423675048315178,0.31215042727730863
Assam,Dibrugarh,3895,1675,1492,14970,11765,1874,24645,95,0.300718132854578,8.931980906921241,2.2957599452640123,0.3363295999293147,0.1112496289700207,27.4705449,94.9124625,"(27.4705449, 94.91246249999999)",1.8013994892330256,,3381,,95,251332.86315789472,12.434537466375046,0.7158685174494672,71.58685174494673,0.6636704000706852,0.2810629144239385
Assam,Dima Hasao,620,523,165,2793,1256,316,3563,20,0.4575678040244969,5.330152671755725,1.8453243546260103,0.2703406352269177,0.1016077170418006,25.3478004,93.0175712,"(25.3478004, 93.0175712)",7.028232369150658,,4890,,20,319806.0,12.675472967822863,0.7360279825197469,73.60279825197469,0.7296593647730822,0.3237184390698159
Assam,Goalpara,6881,2220,797,17021,10603,4325,36242,38,0.2439292385452148,7.663665015758667,2.159137845026782,0.31631441654349,0.202604581440015,26.1639014,90.6253459,"(26.1639014, 90.6253459)",3.2464307605121654,,1824,,38,475104.0,13.071291111219825,0.7691467300187416,76.91467300187415,0.68368558345651,0.32328819615478177
Assam,Golaghat,5537,4047,1921,12369,7785,1998,25926,45,0.4222662771285476,3.0555830039525693,1.4000944513272169,0.2051143054610544,0.1390590200445434,26.5238515,93.962337,"(26.5238515, 93.96233699999999)",3.6528878452817866,,3502,,45,895344.6666666666,13.70496514243264,0.8221672663092174,82.21672663092174,0.7948856945389455,0.36005049722094107
Assam,Hailakandi,3826,1441,311,14201,6922,2253,19049,42,0.2735902790962597,9.848127600554784,2.383992493716876,0.3492556977920784,0.1369188696444849,24.6784123,92.5655661,"(24.6784123, 92.5655661)",2.687211847520569,,1327,,42,176238.2380952381,12.0795976583577,0.6861701267234035,68.61701267234035,0.6507443022079216,0.28995111328188317
Assam,Hojai,5288,1607,155,15271,13731,2371,22937,50,0.2330674401740391,9.496890547263682,2.3510790749500163,0.3444338709329593,0.1343875758091027,26.0016601,92.847737,"(26.0016601, 92.847737)",3.692792959099971,,921,,50,129861.0,11.774227627145175,0.6606193198031024,66.06193198031023,0.6555661290670407,0.27383297474853696
Assam,Jorhat,2905,1122,860,10704,5575,1266,18522,75,0.278619319592749,9.531611754229742,2.3543813775126736,0.3449176593630324,0.1057555759752735,26.7509207,94.2036696,"(26.7509207, 94.2036696)",3.9782228531550152,,2851,,75,185771.16,12.1322762555989,0.6905778305887686,69.05778305887686,0.6550823406369676,0.2682481886700068
Assam,Kamrup,9311,3370,985,30056,13196,3266,41318,65,0.2657519123097547,8.91604865025215,2.29415452039852,0.336094404649494,0.0980103832187978,25.9410942,91.2891036,"(25.9410942, 91.28910359999999)",3.2781631774274542,,3105,,65,652814.3076923077,13.389049531640664,0.7957340936026362,79.57340936026362,0.663905595350506,0.2585938972880565
Assam,Kamrup Metro,2654,2055,1337,14584,12178,2308,23883,140,0.4363983860692291,7.093385214007782,2.091047087800144,0.3063390978329416,0.136624637423785,26.1700805,91.949021,"(26.1700805, 91.949021)",3.366584158985782,,955,,140,41242.357142857145,10.627245339833623,0.5646494472922448,56.46494472922448,0.6936609021670583,0.34582240350698173
Assam,Karbi Anglong,2918,4107,1082,25507,13699,2438,28683,35,0.584626334519573,6.209104186952288,1.9753446976626168,0.2893886589745161,0.0872396765190009,26.186085,93.5812692,"(26.186085, 93.5812692)",19.88184616581173,,10434,,35,2416812.5142857144,14.697960500848678,0.9052528021586259,90.5252802158626,0.710611341025484,0.3309340988603029
Assam,Karimganj,9336,4903,594,24232,11414,4135,37279,60,0.344335978650186,4.941272430668842,1.781923324351342,0.2610523630835803,0.145762831359278,24.8643897,92.3685299,"(24.8643897, 92.3685299)",1.5786410891723528,,1809,,60,447214.95,13.010796866555513,0.7640850782283877,76.40850782283877,0.7389476369164196,0.3334885707809963
Assam,Kokrajhar,2519,1572,518,18300,10559,1928,20741,45,0.3842581275971645,11.633820724729816,2.5363774024700065,0.3715801378982549,0.0953087152108359,26.4021196,90.2705679,"(26.4021196, 90.27056789999999)",3.322150098898008,,3169,,45,324576.02222222224,12.690278143578674,0.7372667556424917,73.72667556424916,0.6284198621017452,0.284447329074662
Assam,Lakhimpur,4726,1825,648,17189,12583,2993,32419,48,0.2785834223782628,9.413472070098576,2.343100359207446,0.3432649864077352,0.1482931179705693,27.234008,94.1022073,"(27.234008, 94.10220729999999)",3.2749783978900395,,2277,,48,341502.5625,12.74111338985658,0.7415202233362117,74.15202233362118,0.6567350135922648,0.3004845492417686
Assam,Majuli,347,157,11,2139,1243,290,2991,18,0.3115079365079365,13.537974683544304,2.676764169662132,0.3921468462522799,0.1193415637860082,27.0016172,94.2242981,"(27.0016172, 94.2242981)",3.271863904348577,,875,,18,25034.722222222223,10.128058972848923,0.5228817124905415,52.28817124905415,0.6078531537477201,0.28271781227647375
